id,enrollment
1,UGL202232994
2,PGO202233260
3,UGL202232992
4,PGO202230252
5,UGL202233373
6,UGO202231074
7,UGO202234351
8,UGL202232949
9,UGO202230449
10,UGL202233257
11,UGL202232953
12,UGL202232956
13,UGL202232955
14,UGO202232045
15,UGL202232957
16,UGL202232946
17,PGO202232952
18,UGL202233375
19,UGO202232103
20,UGO202231370
21,UGO202231343
22,UGO202230120
23,UGO202232977
24,UGO202232962
25,UGO202232263
26,UGO202230634
27,UGO202229438
28,PGO202232915
29,UGO202230545
30,UGO202232124
31,UGO202232537
32,UGO202232529
33,UGO202233298
34,UGO202234098
35,UGO202232484
36,UGO202233066
37,UGO202232446
38,UGO202234352
39,UGO202231345
40,UGl202232942
41,UGL202232943
42,UGL202232995
43,UGL202233791
44,UGL202233797
45,UGL202234068
46,PGL202234070
47,UGL202234094
48,UGO202234362-1
49,PGO202338986
50,PGO202336870
51,PGO202339027
52,PGO202335308
53,PGO202339037
54,PGO202336555
55,PGO202334891
56,PGO202336784
57,PGO202335331
58,PGO202334884
59,PGO202234092
60,PGO202339071
61,PGO202336475
62,PGO202338972
63,PGO202339047
64,PGO202339122
65,PGO202338971
66,PGO202337111
67,UGO202339076
68,PGO202337158
69,PGO202336604
70,PGO202339065
71,UGO202338984
72,PGO202339024
73,UGO202336224
74,PGO202338952
75,UGO202336913
76,UGO202336357
77,UGO202335543
78,PGO202335310
79,UGO202338308
80,PGO202339063
81,PGO202339137
82,PGO202334895
83,PGO202336742
84,PGO202339039
85,PGO202336580
86,PGO202336802
87,PGO202334883
88,PGO202336239
89,PGO202336944
90,PGO202336881
91,PGO202339124
92,PGO202335599
93,PGO202336474
94,PGO202337038
95,PGO202336471
96,PGO202336472
97,PGO202336946
98,PGO202336227
99,PGO202336936
100,PGO202337153
101,PGO202338974
102,PGO202335984
103,PGO202336730
104,PGO202336975
105,PGO202339041
106,PGO202339067
107,PGO202336938
108,PGO202338970
109,PGO202335248
110,PGO202336974
111,PGO202336585
112,PGO202339105
113,PGO202338836
114,PGO202339070
115,PGO202337037
116,UGO202338839
117,PGO202336688
118,PGO202336873
119,PGO202336743
120,PGO202339117
121,PGO202336970
122,PGO202336785
123,PGO202336240
124,PGO202336877
125,PGO202338941
126,UGO202337181
127,PGO202336675
128,PGO202339125
129,PGO202339042
130,PGO202336311
131,PGO202336738
132,UGO202337075
133,UGO202336845
134,UGO202230435
135,UGO202336716
136,UGO202336832
137,UGO202337146
138,UGO202337147
139,UGO202338969
140,UGO202337159
141,PGO202335824
142,PGO202335979
143,PGO202338961
144,PGO202336482
145,PGO202336347
146,PGO202336606
147,PGO202336680
148,PGO202336721
149,PGO202336725
150,PGO202336726
151,PGO202336729
152,PGO202336875
153,PGO202336737
154,PGO202336739
155,PGO202336783
156,PGO202336821
157,PGO202336823
158,PGO202336849
159,PGO202336884
160,PGO202336885
161,PGO202336925
162,PGO202336937
163,PGO202336947
164,PGO202336972
165,PGO202336977
166,PGO202336979
167,PGO202336980
