id,location
1,Andhra Pradesh
2,Arunachal Pradesh
3,Assam
4,Bihar
5,Chhattisgarh
6,Goa
7,Gujarat
8,Haryana
9,Himachal Pradesh
10,Jharkhand
11,Karnataka
12,Kerala
13,Madhya Pradesh
14,Maharashtra
15,Manipur
16,Meghalaya
17,Mizoram
18,Nagaland
19,Odisha
20,Punjab
21,Rajasthan
22,Sikkim
23,Tamil Nadu
24,Telangana
25,Tripura
26,Uttar Pradesh
27,Uttarakhand
28,West Bengal
29,Andaman and Nicobar Islands
30,Chandigarh
31,Dadra and Nagar Haveli and Daman and Diu
32,Delhi
33,Jammu and Kashmir
34,Ladakh
35,Lakshadweep
36,Puducherry
37,others
38,not found
39,Afghanistan
40,Albania
41,Algeria
42,Andorra
43,Angola
44,Antigua and Barbuda
45,Argentina
46,Armenia
47,Australia
48,Austria
49,Azerbaijan
50,Bahamas
51,Bahrain
52,Bangladesh
53,Barbados
54,Belarus
55,Belgium
56,Belize
57,Benin
58,Bhutan
59,Bolivia
60,Bosnia and Herzegovina
61,Botswana
62,Brazil
63,Brunei
64,Bulgaria
65,Burkina Faso
66,Burundi
67,Cabo Verde
68,Cambodia
69,Cameroon
70,Canada
71,Central African Republic
72,Chad
73,Chile
74,China
75,Colombia
76,Comoros
77,Congo
78,Costa Rica
79,Croatia
80,Cuba
81,Cyprus
82,Czech Republic
83,Denmark
84,Djibouti
85,Dominica
86,Dominican Republic
87,Ecuador
88,Egypt
89,El Salvador
90,Equatorial Guinea
91,Eritrea
92,Estonia
93,Eswatini
94,Ethiopia
95,Fiji
96,Finland
97,France
98,Gabon
99,Gambia
100,Georgia
101,Germany
102,Ghana
103,Greece
104,Grenada
105,Guatemala
106,Guinea
107,Guinea-Bissau
108,Guyana
109,Haiti
110,Honduras
111,Hungary
112,Iceland
113,India
114,Indonesia
115,Iran
116,Iraq
117,Ireland
118,Israel
119,Italy
120,Jamaica
121,Japan
122,Jordan
123,Kazakhstan
124,Kenya
125,Kiribati
126,Kuwait
127,Kyrgyzstan
128,Laos
129,Latvia
130,Lebanon
131,Lesotho
132,Liberia
133,Libya
134,Liechtenstein
135,Lithuania
136,Luxembourg
137,Madagascar
138,Malawi
139,Malaysia
140,Maldives
141,Mali
142,Malta
143,Marshall Islands
144,Mauritania
145,Mauritius
146,Mexico
147,Micronesia
148,Moldova
149,Monaco
150,Mongolia
151,Montenegro
152,Morocco
153,Mozambique
154,Myanmar
155,Namibia
156,Nauru
157,Nepal
158,Netherlands
159,New Zealand
160,Nicaragua
161,Niger
162,Nigeria
163,North Korea
164,North Macedonia
165,Norway
166,Oman
167,Pakistan
168,Palau
169,Panama
170,Papua New Guinea
171,Paraguay
172,Peru
173,Philippines
174,Poland
175,Portugal
176,Qatar
177,Romania
178,Russia
179,Rwanda
180,Saint Kitts and Nevis
181,Saint Lucia
182,Saint Vincent and the Grenadines
183,Samoa
184,San Marino
185,Sao Tome and Principe
186,Saudi Arabia
187,Senegal
188,Serbia
189,Seychelles
190,Sierra Leone
191,Singapore
192,Slovakia
193,Slovenia
194,Solomon Islands
195,Somalia
196,South Africa
197,South Korea
198,South Sudan
199,Spain
200,Sri Lanka
201,Sudan
202,Suriname
203,Sweden
204,Switzerland
205,Syria
206,Taiwan
207,Tajikistan
208,Tanzania
209,Thailand
210,Timor-Leste
211,Togo
212,Tonga
213,Trinidad and Tobago
214,Tunisia
215,Turkey
216,Turkmenistan
217,Tuvalu
218,Uganda
219,Ukraine
220,United Arab Emirates
221,United Kingdom
222,United States
223,Uruguay
224,Uzbekistan
225,Vanuatu
226,Vatican City
227,Venezuela
228,Vietnam
229,Yemen
230,Zambia
231,Zimbabwe
