id,lead
1,batch 1
2,Batch 2
3,Jainika
4,Esquared
5,College Funda
6,Shobhit
7,Satin
8,Guide Me
9,Website
10,College Career 360
11,Tech mahindra
12,College Vidya
13,FACEBOOK Lead Ads
14,Mindstory
15,namita_gandotra
16,Learning Gateway
17,NO Detialed Found
18,Khanna Papers
19,SHOOLINI OFFLINE
20,A to Z Muzz
21,Effos
22,Ambuja
23,GIBM Academy
24,REFERRAL
25,Delhi Ies
26,Personal Referral
27,REFERRAL/SHOOLINIUNIVERSITY
28,Employee Referral
29,ATS
30,Shiksha Helpline
31,Sky High
32,Collegedunia
33,Reliance
34,Scoot Learning
35,STUDENT REFERRAL
36,AK career point
37,Offline
38,Sakshi Sankhyan
39,LearnINT
40,EPL
41,Amandeep Hospital
42,E3 Varanasi
43,Manashi Ghy
44,Shoolini Employee
45,International
46,College Program
47,Alchemist
48,AMR Overseas
49,Hitech
50,Nomula Edu Services
51,Ravi Mahto
52,Shiksha Sol VNS
53,Raj Kaur
54,Educatelogin
55,Inbound Phone call
56,Vimal
57,Aj Campus
58,Study India
59,CAP HYD
60,Not Found
61,CUET
62,Learner Hunt
63,Kanika chopra
64,WAQAR ALI SHAH
65,Aanchal
66,Payal Chamoli
67,Sugandha Sood
68,Dimple
69,Sunil Kumar
70,shallu
71,Tarun garg
72,Yashasvi
73,Namita
74,Babita
75,Neha
76,Kritika Khagta
77,Arnav
78,Diksha Thakur
79,Laxmi Kumari
80,Monika Kaushal
81,Meena Singh
82,Admission Guidance
83,Tanvi Dhadwal
84,Right Uni
85,Simran Brahmi
86,Vishali
87,Gurvinderkaur
88,Parth Bhatt
89,Coral
90,Bright Education
91,Sakshi
92,Shivani Sharma
93,Arushidhish Shankar
94,Simran Bansal
95,Neelam
96,Ritu Kanwar
97,Vipin Sharma
98,Pushpender
99,DIKSHA NAGTA
100,Referral Sites
101,Apna Mba
102,Edukyu
103,Shoolini
104,Outreach Lead
105,Outbound Phone call
106,Physics Wallah
107,FB Lead Ads
108,Friend referal
109,yskilled_education
110,Paras Education
111,personal Reference
112,organic
113,amulya_acad
114,Corporate
115,Shoolini_Internal_Staff
116,Merit Educators
117,biswajit_roy
118,DAM- Patna
